epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.0579,0,89.436,0,0,0,0,0,0,99.6785,0,1.25e-05,1.25e-05,1.25e-05
2,26.0711,0,89.2542,0,0,0,0,0,0,99.6757,0,3.37875e-05,3.37875e-05,3.37875e-05
3,38.6951,0,88.7531,0,0,0,0,0,0,99.6639,0,5.0125e-05,5.0125e-05,5.0125e-05
4,51.327,0,88.1506,0,0,0,0,0,0,99.6478,0,6.15125e-05,6.15125e-05,6.15125e-05
5,63.5694,0,87.3632,0,0,0,0,0,0,99.6337,0,6.795e-05,6.795e-05,6.795e-05
6,75.6317,0,86.7187,0,0,0,0,0,0,99.6192,0,6.94375e-05,6.94375e-05,6.94375e-05
7,87.5099,0,86.0958,0,0,0,0,0,0,99.6062,0,6.5975e-05,6.5975e-05,6.5975e-05
8,99.7326,0,85.4697,0,0,0,0,0,0,99.5978,0,5.75625e-05,5.75625e-05,5.75625e-05
9,111.712,0,85.0036,0,0,0,0,0,0,99.5982,0,4.42e-05,4.42e-05,4.42e-05
10,124.546,0,85.1137,0,0,0,0,0,0,99.6094,0,2.58875e-05,2.58875e-05,2.58875e-05
