epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,69.5312,0.27913,3.84655,0.27425,0.22368,0.93025,0.89543,0.92626,0.95202,0.88068,0.65263,0.6185,0.57604,0.13615,0.407,4.52558,0.27229,0.40493,0.96094,6.15226e-05,6.15226e-05,6.15226e-05
2,132.865,0.28904,3.9171,0.27592,0.23224,0.93766,0.90788,0.90984,0.94936,0.87968,0.63165,0.60752,0.575,0.13785,0.41057,4.54077,0.27283,0.42288,0.96363,0.000110994,0.000110994,0.000110994
3,195.544,0.28969,3.93733,0.2742,0.23689,0.93462,0.89602,0.91157,0.94667,0.87154,0.64287,0.59928,0.55757,0.13488,0.41288,4.56512,0.2714,0.42985,0.96366,0.000148254,0.000148254,0.000148254
4,258.307,0.28612,3.92954,0.27154,0.23452,0.93175,0.91696,0.89864,0.95398,0.88288,0.66749,0.61898,0.59608,0.14423,0.40164,4.54179,0.27119,0.4109,0.95504,0.000130055,0.000130055,0.000130055
5,317.301,0.27718,3.89762,0.27122,0.22646,0.92161,0.9166,0.89424,0.95038,0.88193,0.65074,0.62007,0.60186,0.14348,0.39858,4.54178,0.26736,0.40912,0.95727,0.00011174,0.00011174,0.00011174
6,380.073,0.27552,3.85816,0.27099,0.2263,0.92324,0.8854,0.92567,0.95306,0.88511,0.66687,0.61547,0.59366,0.1446,0.39803,4.51919,0.26882,0.40933,0.95061,9.3425e-05,9.3425e-05,9.3425e-05
7,444.036,0.27349,3.82447,0.2707,0.21521,0.92302,0.88859,0.92625,0.95035,0.88252,0.62963,0.62291,0.58147,0.1454,0.39909,4.47717,0.26555,0.41169,0.95131,7.511e-05,7.511e-05,7.511e-05
8,506.734,0.27028,3.78426,0.26886,0.21236,0.91675,0.91166,0.91773,0.95473,0.8876,0.65703,0.63831,0.59294,0.14783,0.3953,4.44333,0.26662,0.40269,0.95411,5.6795e-05,5.6795e-05,5.6795e-05
9,571.015,0.26311,3.75776,0.26869,0.20981,0.91563,0.91533,0.91522,0.95567,0.89119,0.67782,0.66499,0.62984,0.15555,0.39479,4.4287,0.265,0.39478,0.95276,3.848e-05,3.848e-05,3.848e-05
10,631.577,0.26053,3.72806,0.26798,0.20581,0.91118,0.9138,0.91582,0.95529,0.8891,0.68064,0.66445,0.63681,0.16085,0.39515,4.42306,0.26563,0.39606,0.95194,2.0165e-05,2.0165e-05,2.0165e-05
